Maries;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,0
Marier;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,580,290,290,580,580,290,580,290,290,580,580,290,580,290,580,0
wth;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,290,580,290,580,290,580,580,290,290,580,290,580,580,290,580,0
wts;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,0
wtr;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,580,290,580,0
wfh;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,0
wfs;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,580,290,580,0
wfr;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,0
sth;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,0
sts;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,580,290,580,0
str;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,290,580,290,580,290,580,580,290,290,580,290,580,580,290,580,0
sfh;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,580,290,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,290,580,580,290,290,580,290,580,580,0
sfs;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,580,290,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,0
sfr;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,580,290,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,290,580,290,580,580,290,580,290,580,290,290,580,290,580,580,0
mkh;23550,4780,1500,720,360,720,360,720,360,720,360,360,720,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,720,360,720,360,720,360,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,360,720,720,360,360,720,360,720,360,720,720,0
mks;23550,4780,1500,720,360,720,360,720,360,720,360,360,720,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,720,360,720,360,720,360,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,720,360,360,720,720,360,360,720,720,360,360,720,720,0
mkr;23550,4780,1500,720,360,720,360,720,360,720,360,360,720,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,720,360,720,360,720,360,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,720,360,720,360,360,720,360,720,720,360,720,0
mkl;23550,4780,1500,720,360,720,360,720,360,720,360,360,720,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,720,360,720,360,720,360,720,360,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,360,720,720,360,360,720,360,720,360,720,360,720,720,360,720,360,720,360,720,0
test;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,0
